Dance Name	Performers
Singing in the Rain	Chris, Juniors
Doe-Re-Mi  	 Juniors, Primaries, Chris
Make 'em Laugh	  Juniors
Let's Pretend	  Sandy, Carrie, Mindy, Pre-primaries
The Candy Man Can	 Primaries, Alicia
What a Feeling	  Christine, Jenny
Alice in Disney Land	     Darrell, Intermediates
Thoroughly Modern Milly	     Seniors
Do you Hear the People Sing  	 Intermediates, Seniors,Darrell
The Tapioca 	Cabaret Girls
My Favourite Things 	 Pre-primaries, Primaries, Heather
All That Jazz	    Cabaret Girls
Juvenile Tap	    Primaries
Bronze Tap	    Juniors
Silver Tap	    Intermediates
Gold Tap	    Seniors
I Could Have Dance All Night	Christine, Alicia, Darrell
Chicken Song 	 Primaries,Jenny
Jazz Baby    	Happy Tappers
Bye Bye Blackbird  	Happy Tappers, Cabaret Girls
Choo Choo Ch'boogie	 Intermediates
I Dreamed a Dream	 Mavis
ANY Dream Will Do	 Chris, Juniors, Primaries
Jewish Wedding Song	 Happy Tappers
Yankee Doodle  	Happy Tappers
Step In Time   	 Intermediates,Juniors
Supercalifragilisticexpialidocious	Juniors, Intermediates
Masquerade	Intermediates, Seniors
The Music of the Night	Seniors, Cabaret Girls
Cell Block Tango	 Cabaret Girls
Memory	   Mavis
Blue Danube	Intermediates, Junior, Molly, Lucy
A Spoonful of Sugar	Lily, Felicity, Primaries
Charleston 	 Seniors,Cabaret Girls
Good Morning	Happy Tappers, Cabaret Girls, Seniors
I Got Rhythm	Happy Tappers, Cabaret Girls, Seniors, Intermediates, Juniors, Primaries, Pre-primaries
